participantID,exclusion,spr_char_excl,spr-wcg-break_excl,rt_mean_excl,rt_max_excl,comp_prop_excl,catch_excl,read_story_excl,time_exp_excl,focusevents_excl
1247,excluded,False,False,False,True,False,False,False,False,False
1319,included,False,False,False,False,False,False,False,False,False
1263,excluded,True,False,False,False,False,False,False,False,False
1320,included,False,False,False,False,False,False,False,False,False
1339,included,False,False,False,False,False,False,False,False,False
1495,included,False,False,False,False,False,False,False,False,False
1248,excluded,False,False,True,True,False,False,False,True,False
1264,included,False,False,False,False,False,False,False,False,False
1321,included,False,False,False,False,False,False,False,False,False
1322,included,False,False,False,False,False,False,False,False,False
1323,excluded,False,False,False,False,False,False,False,True,True
1265,included,False,False,False,False,False,False,False,False,False
1255,excluded,True,True,False,False,False,False,False,True,True
1249,excluded,False,False,False,True,False,False,False,False,False
1250,excluded,False,False,False,False,False,False,True,False,False
1266,included,False,False,False,False,False,False,False,False,False
1267,excluded,True,False,False,False,False,False,False,False,False
1256,included,False,False,False,False,False,False,False,False,False
1268,included,False,False,False,False,False,False,False,False,False
1257,included,False,False,False,False,False,False,False,False,False
1324,included,False,False,False,False,False,False,False,False,False
1496,included,False,False,False,False,False,False,False,False,False
1497,included,False,False,False,False,False,False,False,False,False
1269,included,False,False,False,False,False,False,False,False,False
1340,included,False,False,False,False,False,False,False,False,False
1251,included,False,False,False,False,False,False,False,False,False
1270,excluded,False,False,False,True,True,False,False,False,False
1271,included,False,False,False,False,False,False,False,False,False
1252,included,False,False,False,False,False,False,False,False,False
1341,excluded,False,False,False,False,False,False,False,True,False
1342,included,False,False,False,False,False,False,False,False,False
1325,excluded,False,False,False,True,False,False,False,False,False
1343,included,False,False,False,False,False,False,False,False,False
1498,included,False,False,False,False,False,False,False,False,False
1082,included,False,False,False,False,False,False,False,False,False
1253,included,False,False,False,False,False,False,False,False,False
1233,included,False,False,False,False,False,False,False,False,False
1234,excluded,False,True,False,False,False,False,False,False,False
1258,included,False,False,False,False,False,False,False,False,False
1259,excluded,False,False,False,True,False,False,False,False,False
1272,included,False,False,False,False,False,False,False,False,False
1273,included,False,False,False,False,False,False,False,False,False
1344,included,False,False,False,False,False,False,False,False,False
1326,included,False,False,False,False,False,False,False,False,False
1345,included,False,False,False,False,False,False,False,False,False
1572,included,False,False,False,False,False,False,False,False,False
1260,excluded,False,False,False,True,False,False,False,False,False
1327,excluded,True,False,False,False,False,False,False,False,False
1261,included,False,False,False,False,False,False,False,False,False
1346,included,False,False,False,False,False,False,False,False,False
1347,included,False,False,False,False,False,False,False,False,False
1235,excluded,True,False,False,False,True,False,False,False,False
1262,included,False,False,False,False,False,False,False,False,False
1236,included,False,False,False,False,False,False,False,False,False
1499,excluded,True,False,True,True,False,False,False,False,False
1237,excluded,True,True,False,True,False,False,False,True,True
1254,included,False,False,False,False,False,False,False,False,False
1126,excluded,False,False,False,False,False,False,False,True,False
1274,excluded,True,False,False,True,False,False,False,False,False
1063,excluded,True,False,False,False,False,False,False,False,False
1348,included,False,False,False,False,False,False,False,False,False
1275,included,False,False,False,False,False,False,False,False,False
1349,included,False,False,False,False,False,False,False,False,False
1276,included,False,False,False,False,False,False,False,False,False
1328,excluded,True,True,False,True,False,False,True,False,False
1329,included,False,False,False,False,False,False,False,False,False
1330,included,False,False,False,False,False,False,False,False,False
1004,included,False,False,False,False,False,False,False,False,False
1277,included,False,False,False,False,False,False,False,False,False
1350,included,False,False,False,False,False,False,False,False,False
1278,excluded,False,False,False,True,False,False,False,False,False
1351,included,False,False,False,False,False,False,False,False,False
1331,included,False,False,False,False,False,False,False,False,False
1352,included,False,False,False,False,False,False,False,False,False
1353,excluded,True,False,False,True,False,False,False,True,True
1354,included,False,False,False,False,False,False,False,False,False
1355,excluded,False,True,False,False,False,False,False,False,False
1332,included,False,False,False,False,False,False,False,False,False
1356,excluded,True,False,False,False,True,False,False,False,False
1357,included,False,False,False,False,False,False,False,False,False
1358,included,False,False,False,False,False,False,False,False,False
1333,excluded,False,True,False,False,False,False,False,False,False
1359,excluded,True,False,True,True,False,False,False,True,True
1500,excluded,True,False,False,False,False,False,False,True,False
1501,included,False,False,False,False,False,False,False,False,False
1602,included,False,False,False,False,False,False,False,False,False
1360,included,False,False,False,False,False,False,False,False,False
1334,excluded,False,True,False,False,False,False,False,True,True
1335,included,False,False,False,False,False,False,False,False,False
1336,excluded,False,True,False,False,False,False,False,False,False
1337,included,False,False,False,False,False,False,False,False,False
1361,included,False,False,False,False,False,False,False,False,False
1056,included,False,False,False,False,False,False,False,False,False
1338,excluded,False,False,False,True,False,False,False,False,False
1362,excluded,False,True,False,False,False,False,False,False,False
1502,excluded,False,False,True,False,False,False,False,True,False
1503,excluded,False,False,False,True,False,False,False,False,False
1363,included,False,False,False,False,False,False,False,False,False
1364,included,False,False,False,False,False,False,False,False,False
1504,included,False,False,False,False,False,False,False,False,False
1365,included,False,False,False,False,False,False,False,False,False
1366,excluded,True,False,False,False,True,False,False,True,False
1505,excluded,False,True,False,True,False,False,False,False,False
1506,excluded,False,True,False,False,False,False,False,False,False
1507,included,False,False,False,False,False,False,False,False,False
1508,excluded,False,False,False,False,False,False,True,False,False
1509,excluded,True,False,False,True,False,False,False,True,False
1603,included,False,False,False,False,False,False,False,False,False
1510,included,False,False,False,False,False,False,False,False,False
1367,included,False,False,False,False,False,False,False,False,False
1368,excluded,True,False,False,False,True,False,False,False,False
1369,included,False,False,False,False,False,False,False,False,False
1370,included,False,False,False,False,False,False,False,False,False
1511,included,False,False,False,False,False,False,False,False,False
1512,included,False,False,False,False,False,False,False,False,False
1371,excluded,True,False,False,False,False,False,False,False,False
1372,included,False,False,False,False,False,False,False,False,False
1513,included,False,False,False,False,False,False,False,False,False
1514,included,False,False,False,False,False,False,False,False,False
1515,included,False,False,False,False,False,False,False,False,False
1516,included,False,False,False,False,False,False,False,False,False
1517,included,False,False,False,False,False,False,False,False,False
1518,included,False,False,False,False,False,False,False,False,False
1519,excluded,False,False,False,False,False,False,False,True,False
1573,included,False,False,False,False,False,False,False,False,False
1520,included,False,False,False,False,False,False,False,False,False
1665,included,False,False,False,False,False,False,False,False,False
1521,included,False,False,False,False,False,False,False,False,False
1522,included,False,False,False,False,False,False,False,False,False
1373,included,False,False,False,False,False,False,False,False,False
1523,included,False,False,False,False,False,False,False,False,False
1524,included,False,False,False,False,False,False,False,False,False
1525,included,False,False,False,False,False,False,False,False,False
1604,included,False,False,False,False,False,False,False,False,False
1526,excluded,False,False,False,True,False,False,False,False,False
1527,included,False,False,False,False,False,False,False,False,False
1528,included,False,False,False,False,False,False,False,False,False
1529,included,False,False,False,False,False,False,False,False,False
1530,included,False,False,False,False,False,False,False,False,False
1531,excluded,True,False,False,False,False,False,False,False,False
1532,included,False,False,False,False,False,False,False,False,False
1574,included,False,False,False,False,False,False,False,False,False
1533,excluded,True,False,False,False,False,False,False,False,False
1374,excluded,True,False,False,False,False,False,True,True,False
1534,included,False,False,False,False,False,False,False,False,False
1535,included,False,False,False,False,False,False,False,False,False
1536,included,False,False,False,False,False,False,False,False,False
1375,excluded,True,False,False,False,False,False,False,True,True
1376,excluded,False,False,False,True,False,False,False,False,False
1537,included,False,False,False,False,False,False,False,False,False
1538,included,False,False,False,False,False,False,False,False,False
1539,excluded,True,True,False,False,False,False,False,False,False
1575,included,False,False,False,False,False,False,False,False,False
1592,included,False,False,False,False,False,False,False,False,False
1377,included,False,False,False,False,False,False,False,False,False
1540,excluded,False,True,False,False,False,False,False,False,True
1541,included,False,False,False,False,False,False,False,False,False
1378,included,False,False,False,False,False,False,False,False,False
1542,included,False,False,False,False,False,False,False,False,False
1543,included,False,False,False,False,False,False,False,False,False
1544,included,False,False,False,False,False,False,False,False,False
1545,excluded,True,False,False,True,False,False,False,False,False
1546,included,False,False,False,False,False,False,False,False,False
1547,included,False,False,False,False,False,False,False,False,False
1548,included,False,False,False,False,False,False,False,False,False
1576,included,False,False,False,False,False,False,False,False,False
1549,included,False,False,False,False,False,False,False,False,False
1550,included,False,False,False,False,False,False,False,False,False
1605,excluded,False,True,False,False,False,False,False,False,False
1606,excluded,False,True,False,False,False,False,False,False,False
1551,included,False,False,False,False,False,False,False,False,False
1552,included,False,False,False,False,False,False,False,False,False
1553,included,False,False,False,False,False,False,False,False,False
1554,excluded,True,False,False,True,True,False,True,False,False
1555,included,False,False,False,False,False,False,False,False,False
1556,included,False,False,False,False,False,False,False,False,False
1557,excluded,True,False,False,False,False,False,False,True,False
1577,included,False,False,False,False,False,False,False,False,False
1558,included,False,False,False,False,False,False,False,False,False
1559,included,False,False,False,False,False,False,False,False,False
1560,included,False,False,False,False,False,False,False,False,False
1561,included,False,False,False,False,False,False,False,False,False
1578,included,False,False,False,False,False,False,False,False,False
1579,included,False,False,False,False,False,False,False,False,False
1580,excluded,False,False,False,True,False,False,False,False,False
1593,included,False,False,False,False,False,False,False,False,False
1607,included,False,False,False,False,False,False,False,False,False
1562,included,False,False,False,False,False,False,False,False,False
1563,included,False,False,False,False,False,False,False,False,False
1608,excluded,True,False,False,True,False,False,False,False,False
1564,excluded,False,False,False,False,False,False,False,True,True
1581,included,False,False,False,False,False,False,False,False,False
1582,included,False,False,False,False,False,False,False,False,False
1565,excluded,True,False,False,False,False,False,False,False,False
1609,included,False,False,False,False,False,False,False,False,False
1566,included,False,False,False,False,False,False,False,False,False
1567,excluded,False,True,False,False,False,False,False,False,False
1568,included,False,False,False,False,False,False,False,False,False
1569,excluded,True,True,True,True,False,False,True,False,False
1583,included,False,False,False,False,False,False,False,False,False
1584,included,False,False,False,False,False,False,False,False,False
1570,excluded,False,False,True,False,False,False,False,False,False
1594,included,False,False,False,False,False,False,False,False,False
1571,excluded,True,True,False,False,False,False,False,True,True
1585,excluded,True,True,False,False,False,False,True,True,True
1595,excluded,True,True,False,False,False,False,False,False,False
1610,included,False,False,False,False,False,False,False,False,False
1586,included,False,False,False,False,False,False,False,False,False
1596,included,False,False,False,False,False,False,False,False,False
1597,included,False,False,False,False,False,False,False,False,False
1598,excluded,True,True,False,False,False,False,False,True,False
1587,included,False,False,False,False,False,False,False,False,False
1588,included,False,False,False,False,False,False,False,False,False
1589,included,False,False,False,False,False,False,False,False,False
1590,included,False,False,False,False,False,False,False,False,False
1591,included,False,False,False,False,False,False,False,False,False
1599,included,False,False,False,False,False,False,False,False,False
1611,included,False,False,False,False,False,False,False,False,False
1600,excluded,False,True,False,False,False,False,False,False,False
1601,included,False,False,False,False,False,False,False,False,False
1612,included,False,False,False,False,False,False,False,False,False
1613,included,False,False,False,False,False,False,False,False,False
1614,included,False,False,False,False,False,False,False,False,False
1615,excluded,False,True,False,False,False,False,False,False,False
1666,included,False,False,False,False,False,False,False,False,False
1616,included,False,False,False,False,False,False,False,False,False
1617,included,False,False,False,False,False,False,False,False,False
1667,included,False,False,False,False,False,False,False,False,False
1618,included,False,False,False,False,False,False,False,False,False
