participantID,exclusion,spr/char_excl,spr-wcg-break_excl,rt_mean_excl,rt_max_excl,comp_prop_excl,catch_prop_excl,read_story_excl,time_exp_excl,focusevents_excl
1608,excluded,False,False,True,False,False,False,False,False,False
1609,included,False,False,False,False,False,False,False,False,False
1610,included,False,False,False,False,False,False,False,False,False
1611,included,False,False,False,False,False,False,False,False,False
1612,included,False,False,False,False,False,False,False,False,False
1613,included,False,False,False,False,False,False,False,False,False
1614,included,False,False,False,False,False,False,False,False,False
1615,included,False,False,False,False,False,False,False,False,False
1616,included,False,False,False,False,False,False,False,False,False
1617,included,False,False,False,False,False,False,False,False,False
1618,included,False,False,False,False,False,False,False,False,False
1619,included,False,False,False,False,False,False,False,False,False
1620,included,False,False,False,False,False,False,False,False,False
1621,excluded,False,False,True,True,False,False,False,False,False
1622,included,False,False,False,False,False,False,False,False,False
1623,included,False,False,False,False,False,False,False,False,False
1624,included,False,False,False,False,False,False,False,False,False
1625,included,False,False,False,False,False,False,False,False,False
1626,excluded,False,True,False,False,False,False,False,False,False
1627,excluded,False,True,False,False,False,False,False,True,True
1628,included,False,False,False,False,False,False,False,False,False
1629,excluded,True,True,False,False,False,False,False,False,False
1630,included,False,False,False,False,False,False,False,False,False
1631,included,False,False,False,False,False,False,False,False,False
1632,included,False,False,False,False,False,False,False,False,False
1633,included,False,False,False,False,False,False,False,False,False
1634,excluded,True,False,False,False,False,False,False,False,False
1635,included,False,False,False,False,False,False,False,False,False
1636,excluded,True,False,True,True,False,False,False,True,True
1637,excluded,True,False,False,False,True,False,True,True,False
1638,excluded,True,True,True,True,True,False,True,False,False
1639,excluded,False,True,True,True,False,False,False,False,False
1640,included,False,False,False,False,False,False,False,False,False
1641,included,False,False,False,False,False,False,False,False,False
1642,included,False,False,False,False,False,False,False,False,False
1643,included,False,False,False,False,False,False,False,False,False
1644,excluded,False,False,False,False,False,False,False,True,True
1645,excluded,True,False,True,True,True,False,True,True,True
1646,excluded,False,False,False,True,False,False,False,False,False
1647,included,False,False,False,False,False,False,False,False,False
1648,excluded,False,False,False,True,False,False,False,False,False
1649,included,False,False,False,False,False,False,False,False,False
1650,excluded,True,False,True,True,False,False,False,False,False
1651,included,False,False,False,False,False,False,False,False,False
1652,included,False,False,False,False,False,False,False,False,False
1653,included,False,False,False,False,False,False,False,False,False
1654,included,False,False,False,False,False,False,False,False,False
1655,included,False,False,False,False,False,False,False,False,False
1656,included,False,False,False,False,False,False,False,False,False
1657,included,False,False,False,False,False,False,False,False,False
1658,included,False,False,False,False,False,False,False,False,False
1659,included,False,False,False,False,False,False,False,False,False
1660,included,False,False,False,False,False,False,False,False,False
1661,included,False,False,False,False,False,False,False,False,False
1662,excluded,True,True,False,False,False,False,False,False,False
1663,excluded,False,False,True,True,False,False,False,False,False
1664,included,False,False,False,False,False,False,False,False,False
1665,included,False,False,False,False,False,False,False,False,False
1666,excluded,True,False,False,False,True,False,False,True,False
1667,included,False,False,False,False,False,False,False,False,False
1668,included,False,False,False,False,False,False,False,False,False
1669,included,False,False,False,False,False,False,False,False,False
1670,included,False,False,False,False,False,False,False,False,False
1671,included,False,False,False,False,False,False,False,False,False
1672,included,False,False,False,False,False,False,False,False,False
1673,excluded,False,True,False,False,False,False,False,False,False
1674,included,False,False,False,False,False,False,False,False,False
1675,included,False,False,False,False,False,False,False,False,False
1676,excluded,False,True,False,False,False,False,False,True,False
1677,included,False,False,False,False,False,False,False,False,False
1678,included,False,False,False,False,False,False,False,False,False
1679,excluded,True,False,True,True,False,False,False,False,False
1680,included,False,False,False,False,False,False,False,False,False
1681,included,False,False,False,False,False,False,False,False,False
1682,excluded,True,True,True,True,False,False,False,False,False
1683,included,False,False,False,False,False,False,False,False,False
1684,excluded,False,False,True,False,False,False,False,False,False
1685,included,False,False,False,False,False,False,False,False,False
1686,included,False,False,False,False,False,False,False,False,False
1687,included,False,False,False,False,False,False,False,False,False
1688,excluded,True,False,False,False,True,False,False,False,False
1689,included,False,False,False,False,False,False,False,False,False
1690,excluded,False,False,False,True,False,False,False,False,False
1691,included,False,False,False,False,False,False,False,False,False
1692,excluded,False,False,False,False,False,False,False,True,False
1693,included,False,False,False,False,False,False,False,False,False
1694,excluded,False,False,True,False,False,False,False,False,False
1695,included,False,False,False,False,False,False,False,False,False
1696,included,False,False,False,False,False,False,False,False,False
1697,excluded,False,False,True,True,False,False,False,False,False
1698,excluded,True,False,False,True,False,False,False,False,False
1699,included,False,False,False,False,False,False,False,False,False
1700,included,False,False,False,False,False,False,False,False,False
1701,excluded,False,False,True,False,False,False,False,False,False
1702,included,False,False,False,False,False,False,False,False,False
1703,included,False,False,False,False,False,False,False,False,False
1704,included,False,False,False,False,False,False,False,False,False
1705,included,False,False,False,False,False,False,False,False,False
1706,included,False,False,False,False,False,False,False,False,False
1707,included,False,False,False,False,False,False,False,False,False
1708,excluded,False,False,False,True,False,False,False,False,False
1709,excluded,False,False,True,True,False,False,False,True,True
1710,excluded,False,True,False,False,False,False,False,True,False
1711,included,False,False,False,False,False,False,False,False,False
1712,excluded,True,False,True,True,True,False,True,True,True
1713,included,False,False,False,False,False,False,False,False,False
1714,included,False,False,False,False,False,False,False,False,False
1715,included,False,False,False,False,False,False,False,False,False
1716,included,False,False,False,False,False,False,False,False,False
1717,included,False,False,False,False,False,False,False,False,False
1718,included,False,False,False,False,False,False,False,False,False
1719,included,False,False,False,False,False,False,False,False,False
1720,included,False,False,False,False,False,False,False,False,False
1721,excluded,True,True,False,False,False,False,False,False,False
1722,included,False,False,False,False,False,False,False,False,False
1723,excluded,False,False,False,False,False,False,True,False,False
1724,included,False,False,False,False,False,False,False,False,False
1725,excluded,False,False,False,False,False,False,False,True,True
1726,excluded,False,False,True,True,False,False,False,False,False
