participantID,exclusion,reason
3004,included,
3006,included,
3007,included,
3009,included,
3016,included,
3017,included,
3024,included,
3026,excluded,"post: no word between 150s and 180s"
3028,included,
3029,included,
3031,excluded,"pre: no word in first 30s"
3033,included,
3035,included,
3036,included,
3040,included,
3041,included,
3043,included,
3046,included,
3049,included,
3050,included,
3052,included,
3053,included,
3060,included,
3061,included,
3063,included,
3066,included,
3067,included,
3068,included,
3071,included,
3075,included,
3076,included,
3077,included,
3078,excluded,"pre: no word between 150s and 180s"
3082,included,
3084,included,
3086,included,
3088,included,
3090,included,
3091,included,
3092,excluded,"post: no word in first 30s"
3093,included,
3094,included,
3095,included,
3098,included,
3101,included,
3103,included,
3104,included,
3105,included,
3106,included,
3107,included,
3108,included,
3109,included,
3110,included,
3111,included,
3113,included,
3114,included,
3116,included,
3118,included,
3120,included,
3121,included,
3125,included,
3128,included,
3133,included,
3135,included,
3139,included,
3142,included,
3144,included,
3151,included,
3152,included,
3153,excluded,"pre: no word between 150s and 180s"
3157,excluded,"post: no word between 150s and 180s"
3159,included,
3161,included,
3162,included,
3163,included,
3164,included,
3166,included,
3168,included,
3172,included,
3173,included,
